year,month,day,temp_max,temp_avg,temp_min,humid_max,humid_avg,humid_min,wind_max,wind_avg,wind_min,pressure_max,pressure_avg,pressure_min,precipitation
1950,1,1,31.0,27.0,0.0,96.0,88.9,79.0,30.0,13.4,2.0,29.5,29.4,29.4,0.0
1950,1,2,24.0,18.5,8.0,96.0,72.0,59.0,26.0,14.9,2.0,29.9,29.7,29.5,0.0
1950,1,3,26.0,16.6,7.0,96.0,85.1,68.0,16.0,7.1,2.0,30.0,29.7,29.4,0.0
1950,1,4,27.0,22.3,15.0,89.0,79.9,66.0,23.0,6.4,0.0,29.8,29.7,29.5,0.0
1950,1,5,37.0,30.2,22.0,96.0,87.1,78.0,28.0,14.3,3.0,29.8,29.6,29.5,0.0
1950,1,6,38.0,36.8,36.0,97.0,92.6,89.0,20.0,12.4,2.0,29.6,29.4,29.3,0.0
1950,1,7,36.0,34.5,33.0,100.0,94.8,89.0,16.0,5.8,0.0,29.4,29.3,29.3,0.0
1950,1,8,34.0,9.5,0.0,100.0,97.7,92.0,12.0,4.3,0.0,29.3,29.2,29.0,0.0
1950,1,9,35.0,23.4,0.0,96.0,88.5,72.0,21.0,13.5,0.0,29.3,29.1,28.8,0.0
1950,1,10,40.0,33.6,0.0,96.0,88.9,70.0,35.0,19.3,10.0,29.1,28.9,28.7,0.0
1950,1,11,35.0,19.8,0.0,96.0,88.3,75.0,20.0,14.0,8.0,29.3,29.2,29.1,0.0
1950,1,12,31.0,24.0,0.0,89.0,74.5,50.0,32.0,21.4,7.0,29.5,29.3,29.2,0.0
1950,1,13,19.0,14.8,11.0,88.0,79.3,62.0,28.0,19.1,6.0,29.5,29.1,28.8,0.0
1950,1,14,16.0,11.9,10.0,80.0,68.8,56.0,22.0,13.0,6.0,29.7,29.5,29.2,0.0
1950,1,15,21.0,18.6,15.0,92.0,88.2,81.0,14.0,7.5,3.0,29.5,29.5,29.5,0.0
1950,1,16,22.0,18.5,15.0,92.0,84.6,77.0,12.0,5.3,0.0,29.7,29.5,29.5,0.0
1950,1,17,24.0,20.3,17.0,92.0,82.4,74.0,25.0,15.5,3.0,29.8,29.7,29.6,0.0
1950,1,18,23.0,17.8,10.0,96.0,76.5,65.0,20.0,13.8,7.0,29.7,29.6,29.5,0.0
1950,1,19,39.0,30.2,0.0,100.0,96.1,88.0,20.0,5.5,0.0,29.4,29.4,29.3,0.0
1950,1,20,46.0,43.0,38.0,100.0,96.3,89.0,21.0,12.2,0.0,29.4,29.4,29.3,0.0
1950,1,21,48.0,45.3,43.0,100.0,93.3,82.0,21.0,12.9,3.0,29.4,29.4,29.3,0.0
